id,model,backend,fixture_prompt,system_prompt,temperature,max_tokens,n,full,partial,partial_bulk,topology,decorated,none,xfail,empty,full_pct,full_ign_src_pct,sd_equiv_pct,functional_full_pct,full_emitted_pct,topo_ok_pct,recognized_pct,malformed_term,mean_latency_s,out_tok_per_s,in_tokens,out_tokens
lb-gptoss-20b-spec-topology,gpt-oss:20b,ollama,spec,topology,0.0,4000,125,52,1,12,10,2,48,0,0,41.6,43.2,54.4,45.6,41.6,60.0,61.6,0,8.4,32.0,45178,33728
lb-gptoss-20b-spec-topology_ports,gpt-oss:20b,ollama,spec,topology_ports,0.0,4000,125,94,1,1,12,1,16,0,0,75.2,75.2,88.8,78.4,75.2,86.4,87.2,0,8.5,31.4,56678,33490
lb-gptoss-20b-verbose-conventions,gpt-oss:20b,ollama,verbose,conventions,0.0,4000,125,6,2,1,0,6,109,1,1,4.8,8.8,6.4,4.8,4.8,7.2,12.0,7,16.9,29.9,115844,63118
lb-gptoss-20b-verbose-strict_ports,gpt-oss:20b,ollama,verbose,strict_ports,0.0,4000,125,12,3,0,2,3,105,0,0,9.6,12.0,14.4,10.4,9.6,13.6,16.0,1,26.9,25.3,561,682
lb-granite3.1-short-conventions,granite3.1-dense:8b,ollama,short,conventions,0.0,2000,125,0,0,0,0,1,124,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,18,5.5,102.3,119466,70282
lb-granite3.1-short-strict_ports,granite3.1-dense:8b,ollama,short,strict_ports,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3.7,104.0,65341,48433
lb-granite3.1-short-topology,granite3.1-dense:8b,ollama,short,topology,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.1,104.6,23716,53824
lb-granite3.1-short-topology_ports,granite3.1-dense:8b,ollama,short,topology_ports,0.0,2000,125,0,0,0,0,2,123,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,9,4.4,104.5,35466,57253
lb-granite3.1-spec-conventions,granite3.1-dense:8b,ollama,spec,conventions,0.0,2000,125,7,0,0,0,2,116,0,0,5.6,5.6,5.6,5.6,5.6,5.6,7.2,58,2.9,100.6,136517,36900
20260613-045341-granite3.1,granite3.1-dense:8b,ollama,spec,strict_ports,0.0,2000,125,20,0,0,11,3,91,0,0,16.0,16.8,25.6,16.8,16.0,24.8,27.2,32,2.9,101.8,82392,36705
lb-granite3.1-spec-strict_ports,granite3.1-dense:8b,ollama,spec,strict_ports,0.0,2000,125,20,0,0,10,4,91,0,0,16.0,16.0,24.8,16.8,16.0,24.0,27.2,26,2.8,102.4,82392,35980
lb-granite3.1-spec-topology,granite3.1-dense:8b,ollama,spec,topology,0.0,2000,125,7,0,0,0,5,113,0,0,5.6,6.4,5.6,5.6,5.6,5.6,9.6,78,3.0,103.4,40767,38947
20260613-042138-granite3.1,granite3.1-dense:8b,ollama,spec,topology_ports,0.0,2000,125,11,0,1,2,24,87,0,0,8.8,8.8,10.4,8.8,8.8,11.2,30.4,30,2.3,102.3,52517,28889
lb-granite3.1-spec-topology_ports,granite3.1-dense:8b,ollama,spec,topology_ports,0.0,2000,125,8,0,1,4,30,82,0,0,6.4,6.4,10.4,7.2,6.4,10.4,34.4,31,2.3,102.6,52517,30140
lb-granite3.1-verbose-conventions,granite3.1-dense:8b,ollama,verbose,conventions,0.0,2000,125,0,0,0,0,0,124,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4.2,102.3,123296,53300
lb-granite3.1-verbose-strict_ports,granite3.1-dense:8b,ollama,verbose,strict_ports,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.8,103.7,69171,48681
lb-llama3.1-short-conventions,llama3.1:8b,ollama,short,conventions,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.2,110.3,105880,30708
lb-llama3.1-short-strict_ports,llama3.1:8b,ollama,short,strict_ports,0.0,2000,125,0,0,0,0,1,124,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,13,2.1,112.0,58505,30067
lb-llama3.1-short-topology,llama3.1:8b,ollama,short,topology,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,111.9,21755,27712
lb-llama3.1-short-topology_ports,llama3.1:8b,ollama,short,topology_ports,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.7,112.5,33255,38404
lb-llama3.1-spec-conventions,llama3.1:8b,ollama,spec,conventions,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1.6,107.4,122107,22320
20260613-045341-llama3.1,llama3.1:8b,ollama,spec,strict_ports,0.0,2000,125,34,0,0,23,0,68,0,0,27.2,27.2,45.6,27.2,27.2,45.6,45.6,6,1.5,106.7,74732,19883
lb-llama3.1-spec-strict_ports,llama3.1:8b,ollama,spec,strict_ports,0.0,2000,125,28,0,0,19,1,77,0,0,22.4,22.4,37.6,22.4,22.4,37.6,38.4,7,1.4,107.7,74732,19518
lb-llama3.1-spec-topology,llama3.1:8b,ollama,spec,topology,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.6,109.3,37982,22439
20260613-042138-llama3.1,llama3.1:8b,ollama,spec,topology_ports,0.0,2000,125,9,0,0,0,15,101,0,0,7.2,7.2,11.2,8.8,7.2,7.2,19.2,14,1.7,108.1,49482,22161
lb-llama3.1-spec-topology_ports,llama3.1:8b,ollama,spec,topology_ports,0.0,2000,125,6,0,0,4,19,96,0,0,4.8,4.8,11.2,8.0,4.8,8.0,23.2,17,1.6,109.1,49482,22361
lb-llama3.1-verbose-conventions,llama3.1:8b,ollama,verbose,conventions,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.0,109.9,109308,27284
lb-llama3.1-verbose-strict_ports,llama3.1:8b,ollama,verbose,strict_ports,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,23,2.5,110.4,61933,35062
or-llama-3.3-70b-2025-short-conventions,meta-llama/llama-3.3-70b-instruct,openai,short,conventions,0.0,8000,125,5,0,0,0,2,115,3,3,4.0,4.0,4.0,4.0,4.1,4.0,5.6,4,,,0,0
or-llama-3.3-70b-2025-short-strict_ports,meta-llama/llama-3.3-70b-instruct,openai,short,strict_ports,0.0,8000,125,2,0,0,0,0,123,0,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,13,,,0,0
or-llama-3.3-70b-2025-spec-strict_ports,meta-llama/llama-3.3-70b-instruct,openai,spec,strict_ports,0.0,8000,125,106,5,0,4,0,9,1,1,84.8,84.8,92.0,84.8,85.5,92.0,92.0,2,,,0,0
or-llama-3.3-70b-2025-verbose-strict_ports,meta-llama/llama-3.3-70b-instruct,openai,verbose,strict_ports,0.0,8000,125,8,0,0,0,0,116,1,1,6.4,6.4,7.2,7.2,6.5,6.4,6.4,13,,,0,0
or-llama-4-maverick-2026-short-conventions,meta-llama/llama-4-maverick,openai,short,conventions,0.0,8000,125,15,1,2,0,2,105,0,0,12.0,12.0,12.8,12.0,12.0,14.4,16.0,13,,,0,0
or-llama-4-maverick-2026-short-strict_ports,meta-llama/llama-4-maverick,openai,short,strict_ports,0.0,8000,125,14,0,1,0,1,109,0,0,11.2,11.2,11.2,11.2,11.2,12.0,12.8,3,,,0,0
or-llama-4-maverick-2026-spec-strict_ports,meta-llama/llama-4-maverick,openai,spec,strict_ports,0.0,8000,125,107,4,0,7,0,6,1,1,85.6,85.6,96.0,87.2,86.3,94.4,94.4,0,,,0,0
or-llama-4-maverick-2026-verbose-strict_ports,meta-llama/llama-4-maverick,openai,verbose,strict_ports,0.0,8000,125,17,0,1,1,1,105,0,0,13.6,14.4,14.4,13.6,13.6,15.2,16.0,5,,,0,0
or-minimax-m3-2026-short-conventions,minimax/minimax-m3,openai,short,conventions,0.0,20000,125,57,1,0,1,12,45,9,9,45.6,45.6,48.8,47.2,49.1,47.2,56.8,1,265.3,60.3,22442,309505
or-minimax-m3-2026-short-strict_ports,minimax/minimax-m3,openai,short,strict_ports,0.0,20000,125,57,0,0,0,6,56,6,6,45.6,45.6,48.0,48.0,47.9,45.6,50.4,0,164.7,60.2,12117,206060
or-minimax-m3-2026-spec-strict_ports,minimax/minimax-m3,openai,spec,strict_ports,0.0,20000,125,112,11,0,0,0,2,0,0,89.6,89.6,99.2,90.4,89.6,98.4,98.4,0,83.9,122.0,893,10236
or-minimax-m3-2026-verbose-strict_ports,minimax/minimax-m3,openai,verbose,strict_ports,0.0,20000,125,69,5,2,0,0,45,4,4,55.2,55.2,60.8,56.8,57.0,60.8,60.8,1,171.6,60.4,17187,272898
or-kimi-k2-2025-short-conventions,moonshotai/kimi-k2-0905,openai,short,conventions,0.0,8000,125,24,2,0,0,4,95,0,0,19.2,19.2,20.8,19.2,19.2,20.8,24.0,3,,,0,0
or-kimi-k2-2025-short-strict_ports,moonshotai/kimi-k2-0905,openai,short,strict_ports,0.0,8000,125,26,3,1,0,4,91,0,0,20.8,20.8,24.0,21.6,20.8,24.0,27.2,1,,,0,0
or-kimi-k2-2025-spec-strict_ports,moonshotai/kimi-k2-0905,openai,spec,strict_ports,0.0,8000,125,103,11,0,3,0,8,0,0,82.4,82.4,96.8,85.6,82.4,93.6,93.6,1,7.9,20.8,618,163
or-kimi-k2-2025-verbose-strict_ports,moonshotai/kimi-k2-0905,openai,verbose,strict_ports,0.0,8000,125,32,5,0,0,0,88,0,0,25.6,25.6,29.6,25.6,25.6,29.6,29.6,2,,,0,0
or-kimi-k2.6-2026-short-conventions,moonshotai/kimi-k2.6,openai,short,conventions,0.0,20000,125,85,1,0,0,1,33,5,5,68.0,68.0,70.4,69.6,70.8,68.8,69.6,1,337.3,66.0,16058,245801
or-kimi-k2.6-short-formatted,moonshotai/kimi-k2.6,openai,short,formatted,0.0,20000,125,0,0,0,0,68,43,14,14,0.0,10.4,0.0,0.0,0.0,0.0,54.4,0,248.4,67.2,5957,1071739
or-kimi-k2.6-2026-short-strict_ports,moonshotai/kimi-k2.6,openai,short,strict_ports,0.0,20000,125,83,0,0,0,0,39,3,3,66.4,66.4,68.8,68.8,68.0,66.4,66.4,0,543.8,79.6,3425,96768
or-kimi-k2.6-short-topology_ports,moonshotai/kimi-k2.6,openai,short,topology_ports,0.0,20000,125,72,2,0,0,11,28,12,12,57.6,57.6,60.0,58.4,63.7,59.2,68.0,0,232.6,74.1,32731,950426
or-kimi-k2.6-2026-spec-strict_ports,moonshotai/kimi-k2.6,openai,spec,strict_ports,0.0,20000,125,118,5,0,1,0,1,0,0,94.4,94.4,99.2,94.4,94.4,99.2,99.2,0,97.0,67.2,3295,20335
